  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 171   27    2    0.00   0.00     0      0    0      0      0     0     0.00
 172   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 173   24    2    0.00   0.00     0      0    0      0      0     0     0.00
 174   22    2    0.00   0.00     0      0    0      0      0     0     0.00
 175   26    2    0.00   0.00     0      0    0      0      0     0     0.00
 176   17    2    0.00   0.00     0      0    0      0      0     0     0.00
 177   21    2    0.00   0.00     0      0    0      0      0     0     0.00
 178   28    2    0.00   0.00     0      0    0      0      0     0     0.00
 179   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 180   21    2    0.00   0.00     0      0    0      0      0     0     0.00
 181    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 182   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 183   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 184   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 185   15    2    0.00   0.00     0      0    0      0      0     0     0.00
 186   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 187   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 188    8    2    0.00   0.00     0      0    0      0      0     0     0.00
 189    4    2    0.00   0.00     0      0    0      0      0     0     0.00
 190   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 191   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 192    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 193   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 194    7    2    0.00   0.00     0      0    0      0      0     0     0.00
 195    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 196   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 197   13    2    0.00   0.00     0      0    0      0      0     0     0.00
 198    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 199    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 200    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 201   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 202    5    2    0.00   0.00     0      0    0      0      0     0     0.00
 203   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 204   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 205   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 206   22    2    0.00   0.00     0      0    0      0      0     0     0.00
 207   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 208    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 209   26    2    0.00   0.00     0      0    0      0      0     0     0.00
 210    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 211   15    2    0.00   0.00     0      0    0      0      0     0     0.00
 212   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 213   15    2    0.00   0.00     0      0    0      0      0     0     0.00
